Sire,sale_year
Accelerate,2021
Acclamation,2019
Afleet Alex,2018
Aikenite,2018
Air Force Blue,2019
Airoforce,2020
Albertus Maximus,2018
Algorithms,2018
Alliance,2023
Alpha,2018
Alternation,2018
Always Dreaming,2021
Americain,2018
American Freedom,2020
American Guru,2023
American Pharoah,2018
Ami's Holiday,2019
Anchor Down,2019
Animal Kingdom,2018
Anthony's Cross,2019
Archarcharch,2018
Army Mule,2021
Arrogate,2020
Artie Schiller,2018
Astern (AUS),2020
Astrology,2018
Atreides,2018
Audible,2022
Australia (GB),2021
Authentic,2023
Awesome Again,2018
Awesome Patriot,2018
Awesome Slew,2021
Awesome of Course,2018
Backtalk,2018
Bal a Bali (BRZ),2020
Basin,2024
Bated Breath (GB),2022
Battalion Runner,2024
Battle of Midway,2020
Bayern,2018
Beau Liam,2024
Bee Jersey,2021
Behesht (FR),2021
Bellamy Road,2018
Bernardini,2018
Big Blue Kitten,2019
Big Brown,2018
Biogenic,2020
Bird Song,2020
Birdstone,2018
Blame,2018
Blue Point (IRE),2023
Blueskiesnrainbows,2018
Bodemeister,2018
Bolt d'Oro,2021
Bradester,2021
Bravazo,2023
Brody's Cause,2019
Broken Vow,2018
Bucchero,2021
By My Standards,2024
Cairo Prince,2018
Cajun Breeze,2023
Calculator,2023
Caleb's Posse,2018
California Chrome,2019
Calyx (GB),2022
Camelot (GB),2019
Can the Man,2018
Candy Ride (ARG),2018
Capo Bastone,2018
Caracaro,2023
Caravaggio,2020
Carpe Diem,2018
Catalina Cruiser,2022
Catholic Boy,2022
Central Banker,2018
Charlatan,2024
Charming Kitten,2022
Chitu,2018
Churchill (IRE),2020
Cinco Charlie,2019
Circumference (IRE),2019
City Zip,2018
City of Light,2021
Classic Empire,2020
Clearly Now,2022
Cloud Computing,2021
Clubhouse Ride,2022
Coal Front,2022
Code of Honor,2024
Collected,2021
Colonel John,2018
Combatant,2024
Commissioner,2018
Competitive Edge,2018
Complexity,2023
Congrats,2018
Connect,2020
Conquest Curlinate,2018
Constitution,2018
Conveyance,2018
Copper Bullet,2022
Core Beliefs,2024
Country House,2023
Court Vision,2018
Creative Cause,2018
Cross Traffic,2018
Cupid,2020
Curlin,2018
Custom for Carlos,2018
Daaher,2018
Daddy Long Legs,2018
Danza,2018
Danzing Candy,2020
Daredevil,2018
Dark Angel (IRE),2020
Data Link,2018
Dawn Approach (IRE),2019
Declaration of War,2018
Demarchelier (GB),2022
Destin,2021
Dialed In,2018
Discreet Cat,2018
Distorted Humor,2018
Divining Rod,2020
Divisidero,2022
Dominus,2018
Dubawi (IRE),2019
Dunkerque (FR),2018
Dunkirk,2018
Dynamic Sky,2019
Echo Town,2023
Effinex,2019
El Padrino,2019
Elusive Quality,2018
Emcee,2019
Empire Maker,2018
English Channel,2018
Enticed,2022
Essential Quality,2024
Euroears,2019
Even the Score,2018
Exaggerator,2019
Far From Over,2022
Fast Anna,2018
Fastnet Rock (AUS),2021
Faversham,2024
Fed Biz,2018
Firing Line,2019
First Defence,2018
First Samurai,2018
Flameaway,2022
Flashback,2018
Flat Out,2018
Flatter,2018
Flintshire (GB),2019
Forever d'Oro,2022
Fort Larned,2018
Frac Daddy,2018
Frank Conversation,2021
Frankel (GB),2018
Free Drop Billy,2021
Freud,2019
Frosted,2019
Funtastic,2021
Galileo (IRE),2018
Game Winner,2023
Gauntlet,2018
Gemologist,2018
General Quarters,2018
Get Stormy,2018
Ghostzapper,2018
Giacomo,2018
Giant Gizmo,2019
Giant Surprise,2019
Giant's Causeway,2018
Gift Box,2023
Gio Ponti,2018
Girolamo,2018
Girvin,2021
Gleneagles (IRE),2018
Global Campaign,2023
Going Commando,2019
Golden Horn (GB),2019
Golden Ticket,2018
Goldencents,2018
Good Magic,2021
Good Samaritan,2021
Gormley,2020
Grasshopper,2018
Graydar,2018
Greenpointcrusader,2020
Grey Swallow,2019
Grey Swallow (IRE),2018
Gun Runner,2020
Gunnevera,2023
Hakassan (CHI),2018
Half Ours,2019
Hampton Court (AUS),2018
Handsome Mike,2018
Hard Spun,2018
Harry's Holiday,2024
Hat Trick (JPN),2019
Haynesfield,2018
He Be Fire N Ice,2023
He's Had Enough,2018
Heart to Heart,2022
Higher Power,2023
Highland Reel (IRE),2021
Hightail,2022
Hit It a Bomb,2019
Holiday Promise,2018
Honest Mischief,2023
Honor A. P.,2023
Honor Code,2018
Honorable Dillon,2019
Hoppertunity,2023
Hunters Bay,2020
I Want Revenge,2018
Improbable,2023
Include,2018
Independence Hall,2024
Informed,2019
Instagrand,2023
Instilled Regard,2023
Into Mischief,2018
Invincible Spirit (IRE),2024
Ironicus,2019
Isotherm,2023
Istan,2018
Itsmyluckyday,2018
Jack Milton,2018
Japan,2018
Java's War,2020
Jersey Town,2018
Jess's Dream,2019
Jimmy Creed,2018
Jump Start,2019
Justify,2021
Justin Phillip,2018
K One King,2019
Kantharos,2018
Karakontie (JPN),2018
Keen Ice,2020
Kettle Corn,2018
Khozan,2019
King for a Day,2024
Kingman (GB),2020
Kitten's Joy,2018
Klimt,2020
Knicks Go,2024
Known Agenda,2024
Kobe's Back,2020
Langfuhr,2018
Laoban,2019
Le Havre (IRE),2021
Lea,2018
Leinster,2024
Lemon Drop Kid,2018
Leofric,2022
Lexitonian,2024
Liaison,2018
Liam's Map,2018
Line of David,2018
Lone Sailor,2023
Lookin At Lee,2024
Lookin At Lucky,2018
Lope de Vega (IRE),2019
Lord Kanaloa (JPN),2024
Lord Nelson,2020
Lost Treasure (IRE),2022
Macho Uno,2018
Maclean's Music,2018
Magician (IRE),2018
Magna Graduate,2018
Majestic City,2018
Majesticperfection,2018
Malibu Moon,2018
Marcel (IRE),2020
Mark Valeski,2018
Mastercraftsman ,2021
Mastery,2020
Maxfield,2024
Maximum Security,2023
Maximus Mischief,2022
McCraken,2021
McKinzie,2023
Medaglia d'Oro,2018
Medal Count,2018
Mendelssohn,2021
Micromanage,2018
Midnight Lute,2018
Midnight Storm,2020
Midshipman,2018
Milwaukee Brew,2019
Mineshaft,2018
Mission Impazible,2018
Mitole,2022
Mizzen Mast,2018
Mo Forza,2024
Mo Tom,2020
Mo Town,2021
Modernist,2024
Mohaymen,2020
Mor Spirit,2021
More Than Ready,2018
Morning Line,2018
Mr Speaker,2018
Mr. Money,2024
Mr. Sidney,2018
Mshawish,2019
Mucho Macho Man,2018
Munnings,2018
Musketier (GER),2018
Myboycharlie (IRE),2020
New Year's Day,2018
Niagara Causeway,2021
Night of Thunder (IRE),2024
No Nay Never,2019
Noble Mission (GB),2018
Normandy Invasion,2018
Northern Afleet,2018
Not Bourbon,2019
Not This Time,2019
Notional,2018
Nyquist,2019
Oasis Dream (GB),2019
Om,2023
Omaha Beach,2022
Optimizer,2019
Orb,2018
Oscar Performance,2021
Outstrip (GB),2022
Outwork,2019
Overanalyze,2018
Oxbow,2018
Paddy O'Prado,2018
Palace,2018
Palace Malice,2018
Pataky Kid,2019
Paynter,2018
Perfect Soul (IRE),2018
Perfect Timber,2020
Persian King (IRE),2023
Pinatubo (IRE),2023
Pioneerof the Nile,2018
Point of Entry,2018
Power Broker,2018
Practical Joke,2020
Prayer for Relief,2019
Preservationist,2022
Producer (GB),2019
Promises Fulfilled,2023
Protonico,2019
Proud Citizen,2018
Quality Road,2018
Qurbaan,2022
Race Day,2018
Raging Bull (FR),2024
Raison d'Etat,2018
Ransom the Moon,2021
Ready's Image,2018
Real Solution,2018
Red Rocks (IRE),2018
Revolutionary,2018
Revolving,2018
Ride On Curlin,2019
Rock Your World,2024
Roman Candle (GB),2023
Rousing Sermon,2019
Rowayton,2023
Run Away and Hide,2018
Runhappy,2019
Saxon Warrior (JPN),2021
Sea The Moon (GER),2024
Secret Circle,2018
Seek Again,2018
Seeking the Soul,2023
Shackleford,2018
Shakin It Up,2018
Shaman Ghost,2020
Shancelot,2023
Shanghai Bobby,2018
Sharp Azteca,2021
Sidney's Candy,2018
Silent Name (JPN),2019
Silver Max,2018
Silver State,2024
Sir Prancealot (IRE),2023
Siyouni (FR),2024
Skipshot,2018
Sky Kingdom,2018
Sky Mesa,2018
Slew's Tiznow,2018
Slumber (GB),2019
Smarty Jones,2018
Snapy Halo (ARG),2018
Snow Trouble,2022
Society's Chairman,2018
Soldat,2018
Solomini,2022
Sottsass (FR),2023
Speightster,2019
Speightstown,2018
Spun to Run,2023
Square Eddie,2020
St Patrick's Day,2022
Star Guitar,2020
Starspangledbanner (AUS),2024
Stay Thirsty,2018
Stormy Atlantic,2018
Street Boss,2018
Street Sense,2018
Street Strategy,2023
Stroll,2018
Strong Mandate,2018
Study of Man (IRE),2022
Successful Appeal,2018
Summer Front,2018
Super Saver,2018
Tacitus,2024
Take Charge Indy,2018
Tale of Ekati,2018
Tale of Verve,2021
Tale of the Cat,2018
Tamarkuz,2019
Tamayuz (GB),2019
Tapit,2018
Tapiture,2018
Tapizar,2018
Tapwrit,2021
Temple City,2018
Ten Sovereigns (IRE),2022
Texas Red,2019
Texas Ryano,2023
The Big Beast,2018
The Factor,2018
The Gurkha (IRE),2019
The Player,2022
Thousand Words,2023
Tiz the Law,2023
Tiznow,2018
Tizway,2018
To Honor and Serve,2018
Tom's Ready,2020
Tom's d'Etat,2023
Tonalist,2018
Too Much Bling,2019
Tourist,2019
Trappe Shot,2018
Treasure Beach (GB),2019
Tu Brutus (CHI),2021
Twirling Candy,2018
Uncaptured,2018
Uncle Chuck,2024
Uncle Mo,2018
Unified,2020
Union Jackson,2020
Union Rags,2018
Upstart,2019
Uptowncharlybrown,2019
Vancouver (AUS),2019
Vekoma,2023
Verrazano,2018
Vino Rosso,2022
Violence,2018
Volatile,2023
War Command,2018
War Correspondent,2020
War Dancer,2019
War Front,2018
War of Will,2023
Warrior's Reward,2018
We Miss Artie,2019
West Coast,2021
What Now,2022
Wheresthemoneyjack,2024
Wicked Strong,2018
Wildcat Red,2020
Will Take Charge,2018
Win Win Win,2023
Winslow Homer,2019
Without Parole (GB),2023
Wootton Bassett (GB),2021
World of Trouble,2022
Yaupon,2024
Yorkton,2023
Yoshida (JPN),2022
Zoffany (IRE),2018
